index;academic year;school year;admission rate;school
664;2023/2024;5;100.0;424
665;2024/2025;1;92.85714285714286;424
666;2024/2025;2;100.0;424
667;2024/2025;3;100.0;424
668;2024/2025;4;100.0;424
669;2024/2025;5;100.0;424
670;2022/2023;1;100.0;425
671;2022/2023;2;100.0;425
672;2022/2023;3;100.0;425
673;2022/2023;4;100.0;425
674;2022/2023;5;100.0;425
675;2023/2024;1;93.33333333333333;425
676;2023/2024;2;100.0;425
677;2023/2024;3;100.0;425
678;2023/2024;4;100.0;425
679;2023/2024;5;100.0;425
680;2024/2025;1;100.0;425
681;2024/2025;2;100.0;425
682;2024/2025;3;100.0;425
683;2024/2025;4;100.0;425
684;2024/2025;5;100.0;425
685;2022/2023;1;100.0;428
686;2022/2023;2;100.0;428
687;2022/2023;3;100.0;428
688;2023/2024;1;100.0;428
689;2023/2024;2;100.0;428
690;2023/2024;3;100.0;428
691;2024/2025;1;98.76543209876543;428
692;2024/2025;2;100.0;428
693;2024/2025;3;100.0;428
694;2022/2023;1;100.0;393
695;2022/2023;2;100.0;393
696;2022/2023;3;100.0;393
697;2022/2023;4;100.0;393
698;2022/2023;5;100.0;393
699;2023/2024;1;100.0;393
700;2023/2024;2;100.0;393
701;2023/2024;3;100.0;393
702;2023/2024;4;100.0;393
703;2023/2024;5;100.0;393
704;2024/2025;1;100.0;393
705;2024/2025;2;100.0;393
706;2024/2025;3;100.0;393
707;2024/2025;4;98.46153846153847;393
708;2024/2025;5;100.0;393
709;2022/2023;1;100.0;429
710;2022/2023;2;100.0;429
711;2022/2023;3;100.0;429
712;2023/2024;1;100.0;429
713;2023/2024;2;100.0;429
714;2023/2024;3;100.0;429
715;2024/2025;1;98.18181818181819;429
716;2024/2025;2;100.0;429
717;2024/2025;3;94.73684210526315;429
718;2022/2023;1;100.0;427
719;2022/2023;2;100.0;427
720;2022/2023;3;100.0;427
721;2023/2024;1;100.0;427
722;2023/2024;2;96.55172413793103;427
723;2023/2024;3;100.0;427
724;2024/2025;1;100.0;427
725;2024/2025;2;100.0;427
726;2024/2025;3;100.0;427
727;2022/2023;1;100.0;394
728;2022/2023;2;100.0;394
729;2022/2023;3;100.0;394
730;2022/2023;4;100.0;394
731;2022/2023;5;100.0;394
732;2023/2024;1;100.0;394
733;2023/2024;2;100.0;394
734;2023/2024;3;100.0;394
735;2023/2024;4;100.0;394
736;2023/2024;5;100.0;394
737;2024/2025;1;100.0;394
738;2024/2025;2;100.0;394
739;2024/2025;3;100.0;394
740;2024/2025;4;100.0;394
