main institute;school;miur code;entity;address;miur code list;school count;check
circolo di coordinamento n. 8;scuola dell'infanzia di romarzollo;;school;via fossa, 21 38062;"";8;8
circolo di coordinamento n. 8;scuola dell'infanzia di tiarno di sopra;;school;piazza milin - tiarno di sopra, 13 38067;"";8;8
circolo di coordinamento n. 8;scuola dell'infanzia di zuclo bolbeno;;school;via fucina - zuclo, 12 38079;"";8;8
circolo di coordinamento n. 9;;;institute;viale trento, 37/e 38068;"";9;9
circolo di coordinamento n. 9;"scuola dell'infanzia di anghebeni ""il sorriso di andrea""";;school;frazione anghebeni, 80/a 38060;"";9;9
circolo di coordinamento n. 9;"scuola dell'infanzia di rovereto ""c. battisti""";;school;via udine, 21 38068;"";9;9
circolo di coordinamento n. 9;scuola dell'infanzia di rovereto fucine;;school;via volta, 1 38068;"";9;9
circolo di coordinamento n. 9;"scuola dell'infanzia di rovereto lizzana  ""girogirotondo""";;school;via livenza, 27 38068;"";9;9
circolo di coordinamento n. 9;scuola dell'infanzia di rovereto noriglio;;school;via romani, 4 38068;"";9;9
circolo di coordinamento n. 9;"scuola dell'infanzia di rovereto rione sud  ""il giardino incantato""";;school;via venezia, 11 38068;"";9;9
circolo di coordinamento n. 9;"scuola dell'infanzia di rovereto san giorgio   ""don a. rossaro""";;school;via telani, 4 38068;"";9;9
circolo di coordinamento n. 9;scuola dell'infanzia di terragnolo piazza;;school;frazione piazza di terragnolo, 14 38060;"";9;9
circolo di coordinamento n. 9;"scuola dell'infanzia di tierno mori  ""il girasole""";;school;via della cooperazione, 20 38065;"";9;9
collegio arcivescovile c.endrici - trento;;;institute;via monsignor  endrici, 23 38122;tn1m00400g|tnps015002|tn1e00100v|tnpc01500v|tntd37500f;6;1
collegio arcivescovile c.endrici - trento;istituto tecnico per il settore economico;tntd37500f;school;via monsignor  endrici, 23 38122;tn1m00400g|tnps015002|tn1e00100v|tnpc01500v|tntd37500f;6;1
collegio arcivescovile c.endrici - trento;istituto tecnico per il settore tecnologico;tntd37500f;school;via monsignor  endrici, 23 38122;tn1m00400g|tnps015002|tn1e00100v|tnpc01500v|tntd37500f;6;1
collegio arcivescovile c.endrici - trento;liceo classico arcivescovile - trento;tnpc01500v;school;via monsignor  endrici, 23 38122;tn1m00400g|tnps015002|tn1e00100v|tnpc01500v|tntd37500f;6;1
collegio arcivescovile c.endrici - trento;liceo scientifico arcivescovile - trento;tnps015002;school;via monsignor  endrici, 23 38122;tn1m00400g|tnps015002|tn1e00100v|tnpc01500v|tntd37500f;6;1
collegio arcivescovile c.endrici - trento;scuola primaria arcivescovile trento;tn1e00100v;school;via monsignor  endrici, 23 38122;tn1m00400g|tnps015002|tn1e00100v|tnpc01500v|tntd37500f;6;1
collegio arcivescovile c.endrici - trento;scuola secondaria di primo grado arcivescovile trento;tn1m00400g;school;via monsignor  endrici, 23 38122;tn1m00400g|tnps015002|tn1e00100v|tnpc01500v|tntd37500f;6;1
collegio arcivescovile dame inglesi - rovereto;;;institute;corso bettini, 71 38068;tnpl005006|tn1m00200x|tn1e006002;3;0
collegio arcivescovile dame inglesi - rovereto;liceo linguistico arcivescovile dame inglesi - rovereto;tnpl005006;school;corso bettini, 71 38068;tnpl005006|tn1m00200x|tn1e006002;3;0
collegio arcivescovile dame inglesi - rovereto;scuola primaria arcivescovile dame inglesi rovereto;tn1e006002;school;corso bettini, 31 38068;tnpl005006|tn1m00200x|tn1e006002;3;0
collegio arcivescovile dame inglesi - rovereto;scuola secondaria di primo grado arcivescovile dame inglesi rovereto;tn1m00200x;school;corso bettini, 31 38068;tnpl005006|tn1m00200x|tn1e006002;3;0
cooperativa sociale sacra famiglia onlus;;;institute;via della saluga, 7 38121;tn1e005006;1;0
cooperativa sociale sacra famiglia onlus;scuola primaria sacra famiglia trento;tn1e005006;school;via della saluga, 7 38121;tn1e005006;1;0
coordinamento pedagogico scuole provinciali dell'infanzia ladine;;;institute;strada giuseppe soraperra - pozza di fassa, 6 38036;"";3;3
coordinamento pedagogico scuole provinciali dell'infanzia ladine;"scuola dell'infanzia di canazei ""don simone micheluzzi de ciciol""";;school;via de magoa, 24 38032;"";3;3
coordinamento pedagogico scuole provinciali dell'infanzia ladine;"scuola dell'infanzia di pera di fassa ""don edy cinzol""";;school;strada tita piaz - pozza di fassa, 13 38036;"";3;3
