vivoscuola institute link;name;school link
https://www.vivoscuola.it/content/view/full/30199;scuola dell'infanzia di tuenno;https://www.vivoscuola.it/content/view/full/30200
https://www.vivoscuola.it/content/view/full/149207;"scuola dell'infanzia di rovereto ""clementino vannetti odv""";https://www.vivoscuola.it/content/view/full/149208
https://www.vivoscuola.it/content/view/full/30043;scuola dell'infanzia di mezzocorona;https://www.vivoscuola.it/content/view/full/30044
https://www.vivoscuola.it/content/view/full/29703;"scuola primaria ""a. degasperi"" sardagna";https://www.vivoscuola.it/content/view/full/29704
https://www.vivoscuola.it/content/view/full/29703;"scuola primaria ""a. schmid"" cristo re trento";https://www.vivoscuola.it/content/view/full/29705
https://www.vivoscuola.it/content/view/full/29703;"scuola primaria ""beato s. bellesini"" trento";https://www.vivoscuola.it/content/view/full/29706
https://www.vivoscuola.it/content/view/full/29703;"scuola primaria ""s. pertini"" sopramonte";https://www.vivoscuola.it/content/view/full/29707
https://www.vivoscuola.it/content/view/full/29703;"scuola primaria ""san vigilio"" vela";https://www.vivoscuola.it/content/view/full/29708
https://www.vivoscuola.it/content/view/full/29703;scuola primaria cadine;https://www.vivoscuola.it/content/view/full/29709
https://www.vivoscuola.it/content/view/full/29703;"scuola secondaria di primo grado ""a. manzoni"" trento";https://www.vivoscuola.it/content/view/full/29710
https://www.vivoscuola.it/content/view/full/30121;scuola dell'infanzia di s. croce bleggio;https://www.vivoscuola.it/content/view/full/30122
https://www.vivoscuola.it/content/view/full/30083;scuola dell'infanzia di pilcante;https://www.vivoscuola.it/content/view/full/30084
https://www.vivoscuola.it/content/view/full/29864;capes - settore servizi;https://www.vivoscuola.it/content/view/full/170210
https://www.vivoscuola.it/content/view/full/29864;settore industria e artigianato;https://www.vivoscuola.it/content/view/full/29865
https://www.vivoscuola.it/content/view/full/29864;settore industria e artigianato serale;https://www.vivoscuola.it/content/view/full/29866
https://www.vivoscuola.it/content/view/full/29864;settore servizi;https://www.vivoscuola.it/content/view/full/29867
https://www.vivoscuola.it/content/view/full/29864;settore servizi serale;https://www.vivoscuola.it/content/view/full/29868
https://www.vivoscuola.it/content/view/full/29482;scuola primaria capriana;https://www.vivoscuola.it/content/view/full/29483
https://www.vivoscuola.it/content/view/full/29482;scuola primaria carano;https://www.vivoscuola.it/content/view/full/29484
https://www.vivoscuola.it/content/view/full/29482;scuola primaria casatta valfloriana;https://www.vivoscuola.it/content/view/full/29485
https://www.vivoscuola.it/content/view/full/29482;scuola primaria castello di fiemme;https://www.vivoscuola.it/content/view/full/29486
https://www.vivoscuola.it/content/view/full/29482;scuola primaria cavalese;https://www.vivoscuola.it/content/view/full/29487
